Subject	Description	Subject_Type
0	PELUCHE Y TITERES	P0
10	INFANTIL	L0
1001	0 - 2 AÑOS	L0
1002	3 - 5 AÑOS	L0
1003	6-8	L0
1004	9 - 12 AÑOS	L0
1005	JUVENIL	L0
1006	EMOCIONES Y VALORES	L0
1007	HABITOS	L0
1008	INFORMATIVOS	L0
1009	POESIA, MUSICA Y RIMAS	L0
1010	FAMILIA	L0
1011	VOCABULARIO	L0
1012	LIBROS POP UP	L0
1013	LIBROS INTERACTIVOS	L0
1014	LIBROS DE ACTIVIDADES	L0
1015	CRIANZA, EDUCACION Y MAT PEDAGOGICO	L0
1016	MUERTE, PERDIDAS, SEPARACION Y TEMAS DIFICILES	L0
1017	COMPILACIONES	L0
11	BIENESTAR	L0
1101	SALUD, DEPORTE Y BIENESTAR	L0
1104	ESPIRITUALIDAD Y FELICIDAD	L0
12	ESTILO DE VIDA	L0
1201	COCINA	L0
1202	ARTE	L0
1203	HOBBIES	L0
1204	DISEÑO, ARQUITECTURA Y MODA	L0
1205	VIAJES	L0
1206	CREATIVIDAD	L0
13	FICCION	L0
1301	LITERATURA Y NOVELA	L0
1302	LITERATURA COLOMBIANA	L0
1303	THRILLER O NOVELA NEGRA	L0
1304	CLASICOS	L0
1305	NOVELA ROMANTICA Y NEW ADULT	L0
1306	CUENTOS, EPISTOLAR Y NOVELAS CORTAS	L0
1307	NOVELA HISTORICA	L0
1308	FANTASIA Y CIENCIA FICCION	L0
1309	COMIC O NOVELA GRAFICA	L0
1310	EDICIONES ESPECIALES O ILUSTRADO	L0
1312	POESÍA	L0
1313	LITERATURA LATINOAMERICANA	L0
14	NO FICCION	L0
1401	EMPRENDIMIENTO Y NEGOCIOS	L0
1402	HISTORIA	L0
1403	ENSAYO	L0
1404	BIOGRAFIAS	L0
1405	FILOSOFIA Y HUMANIDADES	L0
1406	CIENCIA	L0
1407	OTROS	L0
15	INGLES	L0
1501	KIDS	L0
1502	TEENS	L0
1503	FICTION - NON FICTION	L0
1504	LIFESTYLE	L0
16	ADULTOS: ROMPECABEZAS Y JUEGOS	P0
17	NIÑOS: ROMPECABEZAS Y JUEGOS	P0
18	JUEGOS STEAM	P0
19	GRAPAT -ONLINE EXCLUSIVE	P0
20	JUEGOS BEBÉS	P0
21	REGALOS	P0
22	PELUCHES Y TITERES	P0
23	DIVERSIDAD	L0
2301	LGTBIQ+	L0
2304	MUJERES	L0
2305	NEURODIVERSIDAD E INCLUSION	L0
